Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
DXCM,Dexcom Inc,89.29,8.2,10.11%,92.99,86.27,14954600,10/27/23
INTC,Intel Corp,35.54,3.02,9.29%,36.38,34.6,84128203,10/27/23
COF,Capital One Financial Corp,97.74,8.23,9.19%,99.77,96.15,6534000,10/27/23
AMZN,Amazon.com Inc,127.74,8.17,6.83%,130.02,125.52,125309297,10/27/23
SWK,Stanley Black & Decker Inc,82.03,4.8,6.22%,84.65,81.3,4369000,10/27/23
JNPR,Juniper Networks,26.61,1.53,6.10%,28.56,26.24,9602100,10/27/23
CMG,Chipotle Mexican Grill,1887.59,81.12,4.49%,1952.67,1856.5,905800,10/27/23
NEM,Newmont Mining Corp,38.97,1.49,3.98%,39.13,37.8,20582201,10/27/23
ANET,Arista Networks Inc,176.19,6.37,3.75%,177,170.87,2789400,10/27/23
STX,Seagate Technology Hldgs Plc,68.2,2.36,3.58%,69,66.79,4000800,10/27/23
EMN,Eastman Chemical Company,72.58,2.48,3.54%,74.2,70.65,1562300,10/27/23
AMD,Adv Micro Devices,96.43,2.76,2.95%,97.35,94.59,52458598,10/27/23
META,Meta Platforms Inc,296.73,8.38,2.91%,299.31,292.97,29596201,10/27/23
FICO,Fair Isaac and Company,848.1,18.38,2.22%,849,823.49,235800,10/27/23
WDC,Western Digital Cp,38.97,0.71,1.86%,39.41,38.08,6533300,10/27/23
MU,Micron Technology,65.65,1.12,1.74%,66.27,64.88,9980199,10/27/23
STLD,Steel Dynamics Inc,104.11,1.75,1.71%,104.56,101.66,1488800,10/27/23
HCA,Hca Holdings Inc,225.29,3.48,1.57%,227.83,220.55,1320300,10/27/23
MOH,Molina Healthcare Inc,336.1,4.71,1.42%,341.26,330.33,567000,10/27/23
AVGO,Broadcom Ltd,838.36,11.61,1.40%,840.21,828.54,1823600,10/27/23
SYK,Stryker Corp,261.91,3.33,1.29%,262.07,257.98,3783600,10/27/23
CMCSA,Comcast Corp A,39.64,0.49,1.25%,40.41,37.92,35948898,10/27/23
KDP,Keurig Dr Pepper Inc,29.87,0.36,1.22%,30.28,29.34,15490200,10/27/23
DLR,Digital Realty Trust,122.35,1.42,1.17%,126.51,120.14,3383700,10/27/23
ZBRA,Zebra Technologies,207.18,2.35,1.15%,207.55,201.16,564900,10/27/23
ROL,Rollins Inc,36.1,0.39,1.09%,36.65,35.71,3010400,10/27/23
TTWO,Take-Two Interactive,134.43,1.39,1.04%,135.4,132.73,1516000,10/27/23
IFF,International Flavors & Fragrances,67.85,0.68,1.01%,68.29,66.87,3680400,10/27/23
GWW,W.W. Grainger,706.76,7.09,1.01%,711.93,699.97,409200,10/27/23
CZR,Caesars Entertainment Inc,39.14,0.38,0.98%,40.12,38.61,3602200,10/27/23
FTNT,Fortinet Inc,56.26,0.54,0.97%,56.57,55.58,5318000,10/27/23
